Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,13014,5905,3526,10944,16690,41641,91,141129,0.19%,70.5,38.9,9304.05
HTTP Request,23185,3240,2686,5179,6149,16542,9,130412,0.06%,137.0,75.1,4288.49
HTTP Request,481,309,295,488,593,890,7,1599,0.00%,3.2,1.8,154.44
HTTP Request,1525,96,96,187,199,386,4,803,0.00%,10.2,5.6,75.53
HTTP Request,5833,25,10,79,88,121,2,734,0.00%,39.0,21.3,35.81
HTTP Request,21839,6,3,13,22,64,1,518,0.00%,145.9,81.1,12.88
HTTP Request,7486,19,13,19,51,190,9,592,0.00%,50.0,1056.7,30.62
HTTP Request,871,1715,1691,2799,3192,4092,7,5193,0.00%,5.8,3.2,843.11
HTTP Request,2462,602,585,1002,1196,1697,6,2609,0.00%,16.5,9.2,332.43
HTTP Request,958,1557,1489,2412,2895,5127,97,6406,0.00%,6.4,103.8,848.59
HTTP Request,2053,723,700,1111,1333,2181,16,2915,0.00%,13.8,173.4,393.26
HTTP Request,2041,729,699,1219,1479,2270,24,3061,0.00%,13.7,298.6,441.72
HTTP Request,952,7895,7998,11570,12795,18378,10,19477,0.00%,6.3,3.5,3250.70
HTTP Request,2238,3337,3290,5003,5517,6585,24,8583,0.00%,14.9,8.3,1263.23
HTTP Request,530,14479,13795,20019,24117,26074,3731,27344,0.00%,3.4,72.3,4235.88
HTTP Request,8526,869,867,1595,1795,2277,6,3927,0.00%,57.3,32.0,555.90
HTTP Request,17822,416,365,828,986,1333,5,2737,0.00%,119.6,66.5,324.17
HTTP Request,1015,15146,15092,20496,22695,26894,188,29001,0.00%,6.4,3.6,4582.68
HTTP Request,1978,7598,7503,10396,11585,17484,95,24481,0.00%,13.0,7.2,2750.75
HTTP Request,3383,4433,4388,6701,7581,9568,13,11797,0.00%,22.4,12.4,1798.60
HTTP Request,7604,1956,1975,3276,3662,4720,9,7691,0.00%,50.8,27.8,1055.67
HTTP Request,12447,1192,1180,2113,2466,3421,8,4611,0.00%,83.7,46.0,744.29
HTTP Request,851,38594,36177,59388,63579,70997,6596,82910,0.00%,4.9,2.7,14110.12
HTTP Request,1888,16311,16103,22316,24783,29893,2418,33473,0.00%,11.9,6.5,4868.65
HTTP Request,3932,7693,7381,11076,13236,17802,88,27522,0.00%,25.7,14.1,3026.15
HTTP Request,8404,3579,3571,5689,6514,9910,99,19992,0.00%,55.0,30.1,1975.93
HTTP Request,5104,6072,2416,19599,23991,28804,73,33672,0.00%,32.3,164.7,7466.61
HTTP Request,2627,27571,27978,38130,40512,50564,4297,67690,0.00%,16.7,9.1,8900.20
HTTP Request,3723,21231,19999,30308,33200,41297,5290,83003,0.00%,22.5,12.3,7508.20
HTTP Request,10927,6954,5126,14285,17581,32176,517,70529,0.00%,67.6,37.0,5618.92
HTTP Request,13430,5662,4058,8964,12651,35642,189,79400,0.00%,76.0,41.8,7405.93
HTTP Request,26892,2803,2165,4588,5938,16889,25,67051,0.00%,170.7,93.8,3253.36
